Replicate	Sites Masked (%)	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
91	10	0.5	2	9	10	0.1	10	1
91	20	2.5	-58720	7	9	0.222222222	9	1
91	30	1.5	-58713	8	9	0.111111111	9	1.1
91	40	10	-61294	3	7	1.25	8	1
91	50	8.5	-61289	4	7	1.444444444	9	1.2
92	10	2	2	8	9	0.222222222	9	1
92	20	3.5	44	6	8	0.444444444	9	1.2
92	30	14	18	3	6	1.777777778	9	1.5
92	40	11.5	55	4	7	1.444444444	9	1.3
92	50	18.5	-59789	2	7	2.25	8	1.2
93	10	0	0	10	10	0	10	1
93	20	2	2	8	10	0.2	10	1
93	30	11.5	13	6	9	1.2	10	1
93	40	5	5	7	10	0.5	10	1
93	50	13	17	4	9	1.4	10	1.2
94	10	2.5	7	8	10	0.3	10	1.1
94	20	5	-59017	7	9	0.333333333	9	1.2
94	30	9	12	4	9	1	10	1.2
94	40	7.5	12	7	9	0.8	10	1.3
94	50	14	-59792	4	8	1.666666667	9	1.8
95	10	0	0	10	10	0	10	1
95	20	7	-58771	5	9	0.666666667	9	1.2
95	30	7	-58741	5	9	0.666666667	9	1
95	40	4	-59541	6	8	0.375	8	1.2
95	50	20.5	26	4	7	2.444444444	9	1.6
96	10	1.5	3	7	9	0.222222222	9	1.1
96	20	2	4	7	9	0.444444444	9	1.5
96	30	2.5	5	5	9	0.444444444	9	1.4
96	40	8	14	5	7	1.333333333	9	1.2
96	50	9.5	-60558	4	8	1.666666667	9	1.7
97	10	0.5	3	9	10	0.1	10	1
97	20	8	12	5	9	0.9	10	1.2
97	30	5	5	8	10	0.5	10	1
97	40	13.5	21	4	9	1.6	10	1.3
97	50	15.5	23	3	7	1.8	10	1
98	10	0	0	10	10	0	10	1
98	20	5	-58733	6	9	0.444444444	9	1.5
98	30	1	1	9	10	0.1	10	1
98	40	6.5	17	8	9	0.7	10	1.3
98	50	7	-59450	4	9	1.222222222	9	1.3
99	10	1	1	9	10	0.1	10	1
99	20	4	4	6	10	0.4	10	1.1
99	30	12.5	23	4	8	1.333333333	9	1.1
99	40	11	-63527	4	8	0.875	8	1.3
99	50	9	9	6	9	0.9	10	1
100	10	1	1	9	10	0.1	10	1.3
100	20	2.5	4	7	10	0.3	10	1.1
100	30	2.5	4	8	10	0.3	10	1.4
100	40	10	-63523	6	8	1.222222222	9	1.4
100	50	11	-63214	5	7	1.125	8	1.6
